NCM;EX;DESCRIÄ«O;AL÷QUOTA;
8802.3;;- Avi‰es e outros ve°culos aÇreos, de peso superior a 2.000 kg, mas n∆o superior a 15.000 kg, vazios (sem carga);;
8802.30.10;;A hÇlice ;6,5;
8802.30.2;;A turboÇlice;;
8802.30.21;;Multimotores, de peso n∆o superior a 7.000 kg, vazios (sem carga) ;6,5;
8802.30.29;;Outros ;6,5;
8802.30.3;;A turbojato;;
8802.30.31;;De peso n∆o superior a 7.000 kg, vazios (sem carga) ;6,5;
8802.30.39;;Outros ;6,5;
8802.30.90;;Outros ;6,5;
8802.4;;- Avi‰es e outros ve°culos aÇreos, de peso superior a 15.000 kg, vazios (sem carga);;
8802.40.10;;A turboÇlice ;6,5;
8802.40.90;;Outros ;6,5;
8802.60.00;;- Ve°culos espaciais (incluindo os satÇlites) e seus ve°culos de lanáamento, e ve°culos suborbitais ;0;
8804.00.00;;"Paraquedas (incluindo os paraquedas dirig°veis e os parapentes) e os paraquedas girat¢rios; suas partes e acess¢rios. ";6,5;
88.05;;"Aparelhos e dispositivos para lanáamento de ve°culos aÇreos; aparelhos e dispositivos para aterrissagem (aterragem) de ve°culos aÇreos em porta-avi‰es e aparelhos e dispositivos semelhantes; aparelhos de treinamento de voo em terra; suas partes.";;
8805.10.00;;"- Aparelhos e dispositivos para lanáamento de ve°culos aÇreos, e suas partes; aparelhos e dispositivos para aterrissagem (aterragem) de ve°culos aÇreos em porta-avi‰es e aparelhos e dispositivos semelhantes, e suas partes ";0;
8805.2;;- Aparelhos de treinamento de voo em terra e suas partes:;;
8805.21.00;;-- Simuladores de combate aÇreo e suas partes ;0;
8805.29.00;;-- Outros ;0;
88.06;;Ve°culos aÇreos (aeronaves) n∆o tripulados.;;
8806.10.00;;- Concebidos para o transporte de passageiros ;6,5;
8806.2;;- Outros, concebidos unicamente para serem pilotados remotamente:;;
8806.21.00;;-- De peso m†ximo de decolagem n∆o superior a 250 g ;6,5;
8806.21.00;01;Concebidos para a obtená∆o ou captura de imagens;13;
8806.22.00;;-- De peso m†ximo de decolagem superior a 250 g, mas n∆o superior a 7 kg ;6,5;
8806.22.00;01;Concebidos para a obtená∆o ou captura de imagens;13;
8806.23.00;;-- De peso m†ximo de decolagem superior a 7 kg, mas n∆o superior a 25 kg ;6,5;
8806.23.00;01;Concebidos para a obtená∆o ou captura de imagens;13;
8806.24.00;;-- De peso m†ximo de decolagem superior a 25 kg, mas n∆o superior a 150 kg ;6,5;
8806.24.00;01;Concebidos para a obtená∆o ou captura de imagens;13;
8806.29.00;;-- Outros ;6,5;
8806.29.00;01;Concebidos para a obtená∆o ou captura de imagens;13;
8806.9;;- Outros:;;
8806.91.00;;-- De peso m†ximo de decolagem n∆o superior a 250 g ;6,5;
8806.91.00;01;Concebidos para a obtená∆o ou captura de imagens;13;
8806.92.00;;-- De peso m†ximo de decolagem superior a 250 g, mas n∆o superior a 7 kg ;6,5;
8806.92.00;01;Concebidos para a obtená∆o ou captura de imagens;13;
8806.93.00;;-- De peso m†ximo de decolagem superior a 7 kg, mas n∆o superior a 25 kg ;6,5;
8806.93.00;01;Concebidos para a obtená∆o ou captura de imagens;13;
8806.94.00;;-- De peso m†ximo de decolagem superior a 25 kg, mas n∆o superior a 150 kg ;6,5;
8806.94.00;01;Concebidos para a obtená∆o ou captura de imagens;13;
8806.99.00;;-- Outros ;6,5;
8806.99.00;01;Concebidos para a obtená∆o ou captura de imagens;13;
88.07;;Partes dos aparelhos das posiá‰es 88.01, 88.02 ou 88.06.;;
8807.10.00;;- HÇlices e rotores, e suas partes ;0;
8807.20.00;;- Trens de aterrissagem (aterragem) e suas partes ;0;
8807.30.00;;- Outras partes de avi‰es, de helic¢pteros ou de ve°culos aÇreos (aeronaves) n∆o tripulados ;0;
8807.90.00;;- Outras ;0;
89.01;;TransatlÉnticos, barcos de excurs∆o, ferryboats, cargueiros, chatas e embarcaá‰es semelhantes, para o transporte de pessoas ou de mercadorias.;;
8901.10.00;;"- TransatlÉnticos, barcos de excurs∆o e embarcaá‰es semelhantes principalmente concebidas para o transporte de pessoas; ferryboats ";0;
8901.20.00;;- Navios-tanque ;0;
8901.30.00;;- Barcos frigor°ficos, exceto os da subposiá∆o 8901.20 ;0;
8901.90.00;;- Outras embarcaá‰es para o transporte de mercadorias ou para o transporte de pessoas e de mercadorias ;0;
8902;;"Barcos de pesca; navios-f†bricas e outras embarcaá‰es para o tratamento ou conservaá∆o de produtos da pesca.";;
8902.00.10;;De comprimento, de proa a popa, igual ou superior a 35 m ;0;
8902.00.90;;Outros ;0;
89.03;;"Iates e outros barcos e embarcaá‰es de recreio ou de esporte; barcos a remos e canoas.";;
8903.1;;- Barcos infl†veis, mesmo com casco r°gido:;;
8903.11.00;;-- Equipados com um motor ou concebidos para comport†-lo, de peso vazio (sem carga) sem motor n∆o superior a 100 kg ;6,5;
8903.12.00;;-- N∆o concebidos para serem utilizados com um motor e de peso vazio (sem carga) n∆o superior a 100 kg ;6,5;
8903.19.00;;-- Outros ;6,5;
8903.2;;- Barcos Ö vela, exceto os infl†veis, mesmo com motor auxiliar:;;
8903.21.00;;-- De comprimento n∆o superior a 7,5 m ;6,5;
8903.22.00;;-- De comprimento superior a 7,5 m, mas n∆o superior a 24 m ;6,5;
8903.23.00;;-- De comprimento superior a 24 m ;6,5;
8903.3;;- Barcos a motor, exceto os infl†veis, n∆o equipados com motor fora de borda:;;
8903.31.00;;-- De comprimento n∆o superior a 7,5 m ;10;
8903.32.00;;-- De comprimento superior a 7,5 m, mas n∆o superior a 24 m ;10;
8903.33.00;;-- De comprimento superior a 24 m ;10;
8903.9;;- Outros:;;
8903.93.00;;-- De comprimento n∆o superior a 7,5 m ;6,5;
8903.99.00;;-- Outros ;6,5;
8904.00.00;;Rebocadores e barcos concebidos para empurrar outras embarcaá‰es. ;0;
89.05;;"Barcos-far¢is, barcos-bombas, dragas, guindastes flutuantes e outras embarcaá‰es em que a navegaá∆o
Ç acess¢ria da funá∆o principal; docas flutuantes; plataformas de perfuraá∆o ou de exploraá∆o,
flutuantes ou submers°veis.";;
8905.10.00;;- Dragas ;0;
8905.20.00;;- Plataformas de perfuraá∆o ou de exploraá∆o, flutuantes ou submers°veis ;0;
8905.90.00;;- Outros ;0;
8905.90.00;01;Docas flutuantes;3,25;
89.06;;Outras embarcaá‰es, incluindo os navios de guerra e os barcos salva-vidas, exceto os barcos a remos.;;
8906.10.00;;- Navios de guerra ;0;
8906.90.00;;- Outras ;0;
89.07;;Outras estruturas flutuantes (por exemplo, balsas, reservat¢rios, caix‰es, boias de amarraá∆o, boias de sinalizaá∆o e semelhantes).;;
8907.10.00;;- Balsas infl†veis ;3,25;
8907.90.00;;- Outras ;3,75;
8907.90.00;01;Balsas para transporte;5;
8908.00.00;;Embarcaá‰es e outras estruturas flutuantes, para desmantelar. ;NT;
8908.00.00;01;Estruturas flutuantes;0;
90.01;;"Fibras ¢pticas e feixes de fibras ¢pticas; cabos de fibras ¢pticas, exceto os da posiá∆o 85.44; matÇriaspolarizantes em folhas ou em placas; lentes (incluindo as de contato), prismas, espelhos e outros elementos de ¢ptica, de qualquer matÇria, n∆o montados, exceto os de vidro n∆o trabalhado opticamente.";;
9001.1;;- Fibras ¢pticas, feixes e cabos de fibras ¢pticas;;
9001.10.1;;Fibras ¢pticas;;
9001.10.11;;De diÉmetro de n£cleo inferior a 11 micrìmetros (m°crons) ;6,5;
9001.10.19;;Outras ;6,5;
9001.10.20;;Feixes e cabos de fibras ¢pticas ;9,75;
9001.20.00;;- MatÇrias polarizantes em folhas ou em placas ;9,75;
9001.30.00;;- Lentes de contato ;0;
9001.40.00;;- Lentes de vidro, para ¢culos ;0;
9001.50.00;;- Lentes de outras matÇrias, para ¢culos ;0;
9001.9;;- Outros;;
9001.90.10;;Lentes ;0;
9001.90.90;;Outros ;9,75;
90.02;;Lentes, prismas, espelhos e outros elementos de ¢ptica, de qualquer matÇria, montados, para instrumentos ou aparelhos, exceto os de vidro n∆o trabalhado opticamente.;;
9002.1;;- Objetivas:;;
9002.11;;-- Para cÉmeras, para projetores ou para aparelhos fotogr†ficos ou cinematogr†ficos, de ampliaá∆o ou de reduá∆o;;
9002.11.1;;Para cÉmeras fotogr†ficas ou cinematogr†ficas ou para projetores;;
9002.11.11;;Para cÉmeras fotogr†ficas ;9,75;
9002.11.19;;Outras ;9,75;
9002.11.19;01;Para cÉmeras cinematogr†ficas;0;
9002.11.20;;De aproximaá∆o (zoom) para cÉmeras de televis∆o, de 20 ou mais aumentos ;9,75;
9002.11.90;;Outras ;9,75;
9002.19.00;;-- Outras ;9,75;
9002.2;;- Filtros;;
9002.20.10;;Polarizantes ;9,75;
9002.20.90;;Outros ;9,75;
9002.90;;- Outros ;;
9002.90.10;;Comutadores (switches) optomecÉnicos, do tipo utilizado em redes ¢pticas de transmiss∆o de dados, pr¢prios para montagem por inserá∆o (PTH - Pin ThroughHole);9,75;
9002.90.90;;Outros;9,75;
90.03;;Armaá‰es para ¢culos e artigos semelhantes, e suas partes.;;
9003.1;;- Armaá‰es:;;
9003.11.00;;-- De pl†stico ;3,25;
9003.19;;-- De outras matÇrias;;
9003.19.10;;De metais comuns, mesmo folheados ou chapeados de metais preciosos (plaquà) ;3,25;
9003.19.90;;Outras ;3,25;
9003.9;;- Partes;;
9003.90.10;;Charneiras ;3,25;
9003.90.90;;Outras ;3,25;
90.04;;‡culos para correá∆o, proteá∆o ou outros fins, e artigos semelhantes.;;
9004.10.00;;- ‡culos de sol ;9,75;
9004.9;;- Outros;;
9004.90.10;;‡culos para correá∆o ;3,25;
9004.90.20;;‡culos de seguranáa ;3,25;
9004.90.90;;Outros ;3,25;
90.05;;"Bin¢culos, lunetas, incluindo as astronìmicas, telesc¢pios ¢pticos, e suas armaá‰es; outros instrumentos de astronomia e suas armaá‰es, exceto os aparelhos de radioastronomia.";;
9005.10.00;;- Bin¢culos ;9,75;
9005.80.00;;- Outros instrumentos ;9,75;
9005.9;;- Partes e acess¢rios (incluindo as armaá‰es);;
9005.90.10;;De bin¢culos ;9,75;
9005.90.90;;Outros ;9,75;
90.06;;"CÉmeras fotogr†ficas; aparelhos e dispositivos, incluindo as lÉmpadas e tubos, de luz relÉmpago (flash), para fotografia, exceto as lÉmpadas e tubos de descarga da posiá∆o 85.39.";;
9006.30.00;;- CÉmeras fotogr†ficas especialmente concebidas para fotografia submarina ou aÇrea, para exame mÇdico de ¢rg∆os internos ou para laborat¢rios de medicina legal ou de investigaá∆o judicial ;9,75;
9006.40.00;;- CÉmeras fotogr†ficas para filmes de revelaá∆o e c¢pia instantÉneas ;9,75;
9006.5;;- Outras cÉmeras fotogr†ficas:;;
9006.53;;-- Para filmes em rolos de 35 mm de largura;;
9006.53.10;;De foco fixo ;9,75;
9006.53.20;;De foco ajust†vel ;9,75;
9006.59;;-- Outras;;
9006.59.30;;Fotocompositoras a laser para preparaá∆o de clichàs ;0;
9006.59.40;;Outras, de foco fixo ;9,75;
9006.59.5;;Outras, de foco ajust†vel;;
9006.59.51;;Para obtená∆o de negativos de 45 mm x 60 mm ou de dimens‰es superiores ;9,75;
9006.59.59;;Outras ;9,75;
9006.59.59;01;"CÉmeras fotogr†ficas dos tipos utilizados para preparaá∆o de clichàs ou cilindros de
impress∆o";0;
9006.6;;- Aparelhos e dispositivos, incluindo as lÉmpadas e tubos, de luz relÉmpago (flash), para fotografia:;;
9006.61.00;;"-- Aparelhos de tubo de descarga para produá∆o de luz relÉmpago (flash) (denominados ""flashes eletrìnicos"") ";9,75;
9006.69.00;;-- Outros ;9,75;
9006.69.00;01;LÉmpadas de luz relÉmpago (flash);6,5;
9006.9;;- Partes e acess¢rios:;;
9006.91;;-- De cÉmeras fotogr†ficas;;
9006.91.10;;Corpos ;9,75;
9006.91.90;;Outros ;9,75;
9006.99.00;;-- Outros ;9,75;
90.07;;CÉmeras e projetores, cinematogr†ficos, mesmo com aparelhos de gravaá∆o ou de reproduá∆o de som incorporados.;;
9007.10.00;;- CÉmeras ;19,5;
9007.10.00;01;Para filmes de 16 mm de largura ou de largura n∆o inferior a 35 mm;0;
9007.2;;- Projetores;;
9007.20.20;;Para filmes de largura igual ou superior a 35 mm, mas n∆o superior a 70 mm ;13;
9007.20.90;;Outros ;13;
9007.9;;- Partes e acess¢rios:;;
9007.91.00;;-- De cÉmeras ;13;
9007.92.00;;-- De projetores ;13;
90.08;;"Aparelhos de projeá∆o fixa; aparelhos fotogr†ficos de ampliaá∆o ou de reduá∆o.";;
9008.50.00;;- Projetores e aparelhos de ampliaá∆o ou de reduá∆o ;13;
9008.90.00;;- Partes e acess¢rios ;13;
90.1;;"Aparelhos e equipamentos para laborat¢rios fotogr†ficos ou cinematogr†ficos, n∆o especificados nem compreendidos noutras posiá‰es do presente Cap°tulo; negatosc¢pios; telas para projeá∆o.";;
9010.1;;- Aparelhos e equipamentos para revelaá∆o autom†tica de filmes fotogr†ficos, de filmes cinematogr†ficos ou de papel fotogr†fico, em rolos, ou para c¢pia autom†tica de filmes revelados em rolos de papel fotogr†fico;;
9010.10.10;;Cubas e cubetas, de operaá∆o autom†tica e program†veis ;13;
9010.10.20;;Ampliadoras-copiadoras autom†ticas para papel fotogr†fico, com capacidade superior a 1.000 c¢pias por hora ;13;
9010.10.90;;Outros ;13;
9010.5;;"- Outros aparelhos e equipamentos para laborat¢rios fotogr†ficos ou cinematogr†ficos; negatosc¢pios";;
9010.50.10;;Processadores fotogr†ficos para o tratamento eletrìnico de imagens, mesmo com sa°da digital ;13;
9010.50.20;;Aparelhos para revelaá∆o autom†tica de chapas de fotopol°meros com suporte met†lico ;13;
9010.50.90;;Outros ;13;
9010.50.90;01;Moviolas;0;
9010.60.00;;- Telas para projeá∆o ;13;
9010.9;;- Partes e acess¢rios;;
9010.90.10;;De aparelhos ou material da subposiá∆o 9010.10 ou do item 9010.50.10 ;13;
9010.90.90;;Outros ;13;
90.11;;Microsc¢pios ¢pticos, incluindo os microsc¢pios para fotomicrografia, cinefotomicrografia ou microprojeá∆o.;;
9011.10.00;;- Microsc¢pios estereosc¢picos ;3,25;
9011.2;;- Outros microsc¢pios, para fotomicrografia, cinefotomicrografia ou microprojeá∆o;;
9011.20.10;;Para fotomicrografia ;3,25;
9011.20.20;;Para cinefotomicrografia ;3,25;
9011.20.30;;Para microprojeá∆o ;3,25;
9011.8;;- Outros microsc¢pios;;
9011.80.10;;Binoculares de platina m¢vel ;3,25;
9011.80.90;;Outros ;3,25;
9011.9;;- Partes e acess¢rios;;
9011.90.10;;Dos artigos da subposiá∆o 9011.20 ;3,25;
9011.90.90;;Outros ;3,25;
90.12;;"Microsc¢pios, exceto ¢pticos; difrat¢grafos.";;
9012.1;;"- Microsc¢pios, exceto ¢pticos; difrat¢grafos";;
9012.10.10;;Microsc¢pios eletrìnicos ;0;
9012.10.90;;Outros ;0;
9012.9;;- Partes e acess¢rios;;
9012.90.10;;De microsc¢pios eletrìnicos ;3,25;
9012.90.90;;Outros ;3,25;
90.13;;"Lasers, exceto diodos laser; outros aparelhos e instrumentos de ¢ptica, n∆o especificados nem compreendidos noutras posiá‰es do presente Cap°tulo.";;
9013.1;;"- Miras telesc¢picas para armas; perisc¢pios; lunetas para m†quinas, aparelhos ou instrumentos do presente Cap°tulo ou da Seá∆o XVI";;
9013.10.10;;Miras telesc¢picas para armas ;9,75;
9013.10.90;;Outros ;9,75;
9013.20.00;;- Lasers, exceto diodos laser ;9,75;
9013.80.00;;- Outros dispositivos, aparelhos e instrumentos ;9,75;
9013.80.00;01;Conta-fios;3,25;
9013.90.00;;- Partes e acess¢rios ;9,75;
90.14;;"B£ssolas, incluindo as agulhas de marear; outros instrumentos e aparelhos de navegaá∆o.";;
9014.10.00;;- B£ssolas, incluindo as agulhas de marear ;3,25;
9014.2;;- Instrumentos e aparelhos para navegaá∆o aÇrea ou espacial (exceto b£ssolas);;
9014.20.10;;Alt°metros ;3,25;
9014.20.20;;Pilotos autom†ticos ;3,25;
9014.20.30;;Inclinìmetros ;3,25;
9014.20.90;;Outros ;3,25;
9014.8;;- Outros aparelhos e instrumentos;;
9014.80.10;;Sondas ac£sticas (ecobat°metros) ou de ultrassom (sonar e semelhantes) ;3,25;
9014.80.90;;Outros ;3,25;
9014.90.00;;- Partes e acess¢rios ;3,25;
90.15;;"Instrumentos e aparelhos de geodÇsia, topografia, agrimensura, nivelamento, fotogrametria, hidrografia, oceanografia, hidrologia, meteorologia ou de geof°sica, exceto b£ssolas; telàmetros.";;
9015.10.00;;- Telàmetros ;3,25;
9015.2;;- Teodolitos e taqueìmetros;;
9015.20.10;;Com sistema de leitura por meio de prisma ou micrìmetro ¢ptico e precis∆o de leitura de 1 segundo ;3,25;
9015.20.90;;Outros ;3,25;
9015.30.00;;- N°veis ;3,25;
9015.40.00;;- Instrumentos e aparelhos de fotogrametria ;3,25;
9015.8;;- Outros instrumentos e aparelhos;;
9015.80.10;;Molinetes hidromÇtricos ;3,25;
9015.80.90;;Outros ;3,25;
9015.9;;- Partes e acess¢rios;;
9015.90.10;;De instrumentos ou aparelhos da subposiá∆o 9015.40 ;3,25;
9015.90.90;;Outros ;3,25;
9016;;Balanáas sens°veis a pesos inferiores ou iguais a 5 cg, mesmo com pesos.;;
9016.00.10;;Sens°veis a pesos n∆o superiores a 0,2 mg ;0;
9016.00.90;;Outras ;0;
90.17;;"Instrumentos de desenho, de traáado ou de c†lculo (por exemplo, m†quinas de desenhar, pant¢grafos, transferidores, estojos de desenho, rÇguas de c†lculo e discos de c†lculo); instrumentos de medida de distÉncias de uso manual (por exemplo, metros, micrìmetros, paqu°metros e calibres), n∆o especificados nem compreendidos noutras posiá‰es do presente Cap°tulo.";;
9017.1;;- Mesas e m†quinas de desenhar, mesmo autom†ticas;;
9017.10.10;;Autom†ticas ;9,75;
9017.10.90;;Outras ;9,75;
9017.20.00;;- Outros instrumentos de desenho, de traáado ou de c†lculo ;9,75;
9017.3;;- Micrìmetros, paqu°metros, calibres e semelhantes;;
9017.30.10;;Micrìmetros ;0;
9017.30.20;;Paqu°metros ;0;
9017.30.90;;Outros ;0;
9017.8;;- Outros instrumentos;;
9017.80.10;;Metros ;9,75;
9017.80.90;;Outros ;9,75;
9017.9;;- Partes e acess¢rios;;
9017.90.10;;De mesas ou m†quinas de desenhar, autom†ticas ;9,75;
9017.90.90;;Outros ;9,75;
90.18;;Instrumentos e aparelhos para medicina, cirurgia, odontologia e veterin†ria, incluindo os aparelhos para cintilografia e outros aparelhos eletromÇdicos, bem como os aparelhos para testes visuais.;;
9018.1;;- Aparelhos de eletrodiagn¢stico (incluindo os aparelhos de exploraá∆o funcional e os de verificaá∆o de parÉmetros fisiol¢gicos):;;
9018.11.00;;-- Eletrocardi¢grafos ;1,3;
9018.12;;-- Aparelhos de diagn¢stico por varredura ultrassìnica (scanners);;
9018.12.10;;Ec¢grafos com an†lise espectral Doppler ;1,3;
9018.12.90;;Outros ;1,3;
9018.13.00;;-- Aparelhos de diagn¢stico de imagem por ressonÉncia magnÇtica ;1,3;
9018.14;;-- Aparelhos de cintilografia;;
9018.14.10;;Scanner de tomografia por emiss∆o de pos°trons (PET - Positron Emission Tomography) ;1,3;
9018.14.20;;CÉmaras gama ;1,3;
9018.14.90;;Outros ;1,3;
9018.19;;-- Outros;;
9018.19.10;;Endosc¢pios ;1,3;
9018.19.20;;Audiìmetros ;1,3;
9018.19.80;;Outros ;1,3;
9018.19.90;;Partes ;1,3;
9018.2;;- Aparelhos de raios ultravioleta ou infravermelhos;;
9018.20.10;;Para cirurgia, que operem por laser ;5,2;
9018.20.20;;Outros, para tratamento bucal, que operem por laser ;5,2;
9018.20.90;;Outros ;5,2;
9018.3;;- Seringas, agulhas, cateteres, cÉnulas e instrumentos semelhantes:;;
9018.31;;-- Seringas, mesmo com agulhas;;
9018.31.1;;De pl†stico;;
9018.31.11;;De capacidade inferior ou igual a 2 cm3 ;0;
9018.31.19;;Outras ;0;
9018.31.90;;Outras ;0;
9018.32;;-- Agulhas tubulares de metal e agulhas para suturas;;
9018.32.1;;Tubulares de metal;;
9018.32.11;;Gengivais ;5,2;
9018.32.12;;De aáo cromo-n°quel, bisel trifacetado e diÉmetro exterior igual ou superior a 1,6 mm, do tipo utilizado com bolsas de sangue ;5,2;
9018.32.13;;Agulhas ponta de l†pis, do tipo utilizado em anestesia epidural ou raquidiana ;5,2;
9018.32.19;;Outras ;8;
9018.32.20;;Para suturas ;5,2;
9018.39;;-- Outros;;
9018.39.10;;Agulhas ;5,2;
9018.39.2;;Sondas, cateteres e cÉnulas;;
9018.39.21;;De borracha ;0;
9018.39.22;;Cateteres de poli(cloreto de vinila), para embolectomia arterial ;0;
9018.39.23;;Cateteres de poli(cloreto de vinila), para termodiluiá∆o ;5,2;
9018.39.25;;Sondas vesicais estÇreis de poliuretano, com revestimento hidrof°lico, de uso intermitente, apresentadas em embalagens com soluá∆o salina;0;
9018.39.26;;Cateteres intravenosos perifÇricos, de pl†stico;0;
9018.39.29;;Outros ;0;
9018.39.30;;Lancetas para vacinaá∆o e cautÇrios ;5,2;
9018.39.9;;Outros;;
9018.39.91;;Artigo para f°stula arteriovenosa, composto de agulha, base de fixaá∆o tipo borboleta, tubo pl†stico com conector e obturador ;0;
9018.39.99;;Outros ;5,2;
9018.39.99;01;Para transfus∆o de sangue ou infus∆o intravenosa;0;
9018.4;;- Outros instrumentos e aparelhos para odontologia:;;
9018.41.00;;-- Aparelhos dent†rios de brocar, mesmo combinados numa base comum com outros equipamentos dent†rios ;5,2;
9018.49;;-- Outros;;
9018.49.1;;Brocas;;
9018.49.11;;De carboneto de tungstànio (volfrÉmio) ;5,2;
9018.49.12;;De aáo-van†dio ;5,2;
9018.49.19;;Outras ;5,2;
9018.49.20;;Limas ;5,2;
9018.49.40;;Para tratamento bucal, que operem por projeá∆o cinÇtica de part°culas ;5,2;
9018.49.9;;Outros;;
9018.49.91;;Para desenho e construá∆o de peáas cerÉmicas para restauraá‰es dent†rias, computadorizados;5,2;
9018.49.99;;Outros ;5,2;
9018.49.99;01;Cadeiras de dentista equipadas com aparelhos de odontologia;2,6;
9018.5;;- Outros instrumentos e aparelhos para oftalmologia;;
9018.50.10;;Microsc¢pios binoculares, do tipo utilizado em cirurgia oftalmol¢gica ;5,2;
9018.50.90;;Outros ;5,2;
9018.9;;- Outros instrumentos e aparelhos;;
9018.90.10;;Para transfus∆o de sangue ou infus∆o intravenosa ;0;
9018.90.2;;Bisturis;;
9018.90.21;;ElÇtricos ;5,2;
9018.90.29;;Outros ;5,2;
9018.90.3;;Lit¢tomos e litotritores;;
9018.90.31;;Litotritores por onda de choque ;5,2;
9018.90.39;;Outros ;5,2;
9018.90.40;;Rins artificiais ;0;
9018.90.50;;Aparelhos de diatermia ;5,2;
9018.90.6;;Aparelhos para medida da press∆o arterial;;
9018.90.61;;Que contenham merc£rio ;5,2;
9018.90.69;;Outros ;5,2;
9018.90.9;;Outros;;
9018.90.91;;Incubadoras para bebàs ;5,2;
9018.90.93;;"Aparelhos para terapia intra-uretral por micro-ondas (TUMT), pr¢prios para o tratamento de
afecá‰es prost†ticas, computadorizados ";5,2;
9018.90.94;;Endosc¢pios ;5,2;
9018.90.95;;Grampos e clipes, seus aplicadores e extratores ;0;
9018.90.96;;Desfibriladores externos que operem unicamente em modo autom†tico (AED - Automatic External Defibrillator) ;5,2;
9018.90.99;;Outros ;5,2;
9018.90.99;01;Conjunto descart†vel de circulaá∆o assistida e conjunto descart†vel de bal∆o intra-a¢rtico;0;
9018.90.99;02;M†quinas cicladoras para di†lise peritoneal e seus acess¢rios;0;
9018.90.99;03;"Equipamento de drenagem, c†psula protetora do adaptador de titÉnio, equipamentos de
transferància ou similar e equipamento cassete cicladora, para di†lise peritoneal";0;
9018.90.99;04;Kits para afÇrese;0;
90.19;;"Aparelhos de mecanoterapia; aparelhos de massagem; aparelhos de psicotÇcnica; aparelhos de ozonoterapia, de oxigenoterapia, de aerossolterapia, aparelhos respirat¢rios de reanimaá∆o e outros aparelhos de terapia respirat¢ria.";;
9019.10.00;;"- Aparelhos de mecanoterapia; aparelhos de massagem; aparelhos de psicotÇcnica ";5,2;
9019.2;;- Aparelhos de ozonoterapia, de oxigenoterapia, de aerossolterapia, aparelhos respirat¢rios de reanimaá∆o e outros aparelhos de terapia respirat¢ria;;
9019.20.10;;De oxigenoterapia ;1,3;
9019.20.20;;De aerossolterapia ;1,3;
9019.20.30;;Respirat¢rios de reanimaá∆o ;5,2;
9019.20.40;;Respiradores autom†ticos (pulm‰es de aáo) ;5,2;
9019.20.90;;Outros ;5,2;
9020;;Outros aparelhos respirat¢rios e m†scaras contra gases, exceto as m†scaras de proteá∆o desprovidas de mecanismo e de elemento filtrante amov°vel.;;
9020.00.10;;M†scaras contra gases ;0;
9020.00.90;;Outros ;5,2;
90.21;;"Artigos e aparelhos ortopÇdicos, incluindo as cintas e fundas mÇdico-cir£rgicas e as muletas; talas, goteiras e outros artigos e aparelhos para fraturas; artigos e aparelhos de pr¢tese; aparelhos para facilitar a audiá∆o dos surdos e outros aparelhos para compensar uma deficiància ou uma incapacidade, destinados a serem transportados Ö m∆o ou sobre as pessoas ou a serem implantados no organismo.";;
9021.1;;- Artigos e aparelhos ortopÇdicos ou para fraturas;;
9021.10.10;;Artigos e aparelhos ortopÇdicos ;0;
9021.10.20;;Artigos e aparelhos para fraturas ;0;
9021.10.9;;Partes e acess¢rios;;
9021.10.91;;De artigos e aparelhos de ortopedia, articulados ;0;
9021.10.99;;Outros ;0;
9021.2;;- Artigos e aparelhos de pr¢tese dent†ria:;;
9021.21;;-- Dentes artificiais;;
9021.21.10;;De acr°lico ;0;
9021.21.90;;Outros ;0;
9021.29.00;;-- Outros ;0;
9021.3;;- Outros artigos e aparelhos de pr¢tese:;;
9021.31;;-- Pr¢teses articulares;;
9021.31.10;;Femurais ;0;
9021.31.20;;MioelÇtricas ;0;
9021.31.90;;Outras ;0;
9021.39;;-- Outros;;
9021.39.1;;V†lvulas card°acas;;
9021.39.11;;MecÉnicas ;0;
9021.39.19;;Outras ;0;
9021.39.20;;Lentes intraoculares ;0;
9021.39.30;;Pr¢teses de artÇrias vasculares revestidas ;0;
9021.39.40;;Pr¢teses mam†rias n∆o implant†veis ;0;
9021.39.80;;Outros ;0;
9021.39.9;;Partes e acess¢rios;;
9021.39.91;;Partes de pr¢teses modulares que substituem membros superiores ou inferiores ;0;
9021.39.99;;Outros ;0;
9021.40.00;;- Aparelhos para facilitar a audiá∆o dos surdos, exceto as partes e acess¢rios ;0;
9021.50.00;;- Marca-passos card°acos (Estimuladores card°acos*), exceto as partes e acess¢rios ;0;
9021.9;;- Outros;;
9021.90.1;;Aparelhos que se implantam no organismo para compensar uma deficiància ou uma incapacidade;;
9021.90.11;;Cardiodesfibriladores autom†ticos ;0;
9021.90.12;;Implantes expans°veis (stents), mesmo montados sobre cateter do tipo bal∆o ;0;
9021.90.13;;Oclusores interauriculares constitu°dos por uma malha de fios de n°quel e titÉnio preenchida com tecido de poliÇster, mesmo apresentados com seu respectivo cateter ;0;
9021.90.19;;Outros ;0;
9021.90.80;;Outros ;0;
9021.90.9;;Partes e acess¢rios;;
9021.90.91;;De marca-passos card°acos ;0;
9021.90.92;;De aparelhos para facilitar a audiá∆o dos surdos ;0;
9021.90.99;;Outros ;0;
