NCM;DESCRICAO
0302.13.00;-- Salm es-do-pac fico (Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou e Oncorhynchus rhodurus)
0302.14.00;-- Salm o-do-atl ntico (Salmo salar) e salm o-do-dan bio (Hucho hucho)
0302.19.00;-- Outros
0302.2;- Peixes chatos (Pleuronectidae, Bothidae, Cynoglossidae, Soleidae, Scophthalmidae e Citharidae), exceto subprodutos comest veis de peixes das subposi  es 0302.91 a 0302.99:
0302.21.00;-- Linguados-gigantes (Alabotes*) (Reinhardtius hippoglossoides, Hippoglossus hippoglossus, Hippoglossus stenolepis)
0302.22.00;-- Solha (Pleuronectes platessa)
0302.23.00;-- Linguados (Solea spp.)
0302.24.00;-- Pregado (Psetta maxima)
0302.29.00;-- Outros
0302.3;- Atuns (do g nero Thunnus), bonito-listrado (gaiado*) (Katsuwonus pelamis), exceto subprodutos comest veis de peixes das subposi  es 0302.91 a 0302.99:
0302.31.00;-- Albacora-branca (atum) (Thunnus alalunga)
0302.32.00;-- Albacora-laje (atum) (Thunnus albacares)
0302.33.00;-- Bonito-listrado (Gaiado*) (Katsuwonus pelamis)
0302.34.00;-- Albacora-bandolim (atum) (Thunnus obesus)
0302.35.00;-- Atuns-azuis (atuns) (Thunnus thynnus, Thunnus orientalis)
0302.36.00;-- Atum-azul do sul (atum) (Thunnus maccoyii)
0302.39.00;-- Outros
0302.4;- Arenques (Clupea harengus, Clupea pallasii), anchovas (biqueir es*) (Engraulis spp.), sardinhas (Sardina pilchardus, Sardinops spp., Sardinella spp.) (sardinha (Sardina pilchardus) e sardinelas (Sardinops spp., Sardinella spp.)*), anchoveta (espadilha*) (Sprattus sprattus), cavalinhas (sardas e cavalas*) (Scomber scombrus, Scomber australasicus, Scomber japonicus), cavalas-do- ndico (Rastrelliger spp.), serras (Scomberomorus spp.), carapaus (Trachurus spp.), xar us (Caranx spp.), bijupir  (cobia*) (Rachycentron canadum), pampos-prateado (Pampus spp.), agulh o-do-jap o (Cololabis saira), charros (Decapterus spp.), capelim (Mallotus villosus), espadarte (Xiphias gladius), merma-oriental (Euthynnus affinis), bonitos (Sarda spp.), espadins, marlins, veleiros (Istiophoridae), exceto subprodutos comest veis de peixes das subposi  es 0302.91 a 0302.99:
0302.41.00;-- Arenques (Clupea harengus, Clupea pallasii)
0302.42;-- Anchovas (Biqueir es*) (Engraulis spp.)
0302.42.10;Anchoita (Engraulis anchoita)
0302.42.90;Outros
0302.43.00;-- Sardinhas (Sardina pilchardus, Sardinops spp., Sardinella spp.) (Sardinha (Sardina pilchardus) e sardinelas (Sardinops spp., Sardinella spp.)*), anchoveta (espadilha*) (Sprattus sprattus)
0302.44.00;-- Cavalinhas (Sardas e cavalas*) (Scomber scombrus, Scomber australasicus, Scomber japonicus)
0302.45.00;-- Carapaus (Trachurus spp.)
0302.46.00;-- Bijupir  (Cobia*) (Rachycentron canadum)
0302.47.00;-- Espadarte (Xiphias gladius)
0302.49;-- Outros
0302.49.10;Espadins, marlins, veleiros (Istiophoridae)
0302.49.90;Outros
0302.5;- Peixes das fam lias Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae e Muraenolepididae, exceto subprodutos comest veis de peixes das subposi  es 0302.91 a 0302.99:
0302.51.00;-- Bacalhau-do-atl ntico (Gadus morhua), bacalhau-da-groel ndia (Gadus ogac) e bacalhau-do-pac fico (Gadus macrocephalus)
0302.52.00;-- Hadoque (Arinca*) (Melanogrammus aeglefinus)
0302.53.00;-- Saithe (Escamudo*) (Pollachius virens)
0302.54.00;-- Merluzas (Pescadas*) e abr teas (Merluccius spp., Urophycis spp.)
0302.55.00;-- Polaca-do-alasca (Escamudo-do-alasca*) (Theragra chalcogramma)
0302.56.00;-- Verdinhos (Micromesistius poutassou, Micromesistius australis)
0302.59.00;-- Outros
0302.7;- Til pias (Oreochromis spp.), bagres (peixes-gato*) (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.), carpas (Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp.), enguias (Anguilla spp.), perca-do-nilo (Lates niloticus) e peixes cabe a-de-serpente (Channa spp.), exceto subprodutos comest veis de peixes das subposi  es 0302.91 a 0302.99:
0302.71.00;-- Til pias (Oreochromis spp.)
0302.72;-- Bagres (Peixes-gato*) (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.)
0302.72.10;Bagre americano (Ictalurus punctatus)
0302.72.90;Outros
0302.73.00;-- Carpas (Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp.)
0302.74.00;-- Enguias (Anguilla spp.)
0302.79.00;-- Outros
0302.8;- Outros peixes, exceto subprodutos comest veis de peixes das subposi  es 0302.91 a 0302.99:
0302.81.00;-- Ca  o e outros tubar es
0302.82.00;-- Raias (Rajidae)
0302.83;-- Merluza negra e merluza ant rtica (Marlongas*) (Dissostichus spp.)
0302.83.10;Merluza negra (Dissostichus eleginoides)
0302.83.20;Merluza ant rtica (Dissostichus mawsoni)
0302.84.00;-- Robalos (Dicentrarchus spp.)
0302.85.00;-- Espar deos (Sparidae)
0302.89;-- Outros
0302.89.10;Pargo (Lutjanus purpureus)
0302.89.2;Cherne-poveiro (Polyprion americanus), garoupas (Acanthistius spp.), esturj o (Acipenser baerii) e peixes-rei (Atherina spp.)
0302.89.21;Cherne-poveiro (Polyprion americanus)
0302.89.22;Garoupas (Acanthistius spp.)
0302.89.23;Esturj o (Acipenser baerii)
0302.89.24;Peixes-rei (Atherina spp.)
0302.89.3;"Curimat s (Prochilodus spp.), til pias (Tilapia spp., Sarotherodon spp., Danakilia spp.; seus h bridos), surubins (Pseudoplatystoma spp.), tra ra (Hoplias malabaricus & H. cf. lacerdae), piaus (Leporinus spp.), tainhas (Mugil spp.), pirarucu (Arapaima gigas) e pescadas (Cynoscion spp.)"
0302.89.31;Curimat s (Prochilodus spp.)
0302.89.32;"Til pias (Tilapia spp., Sarotherodon spp., Danakilia spp.; seus h bridos)"
0302.89.33;Surubins (Pseudoplatystoma spp.)
0302.89.34;Tra ra (Hoplias malabaricus & H. cf. lacerdae)
0302.89.35;Piaus (Leporinus spp.)
0302.89.36;Tainhas (Mugil spp.)
0302.89.37;Pirarucu (Arapaima gigas)
0302.89.38;Pescadas (Cynoscion spp.)
0302.89.4;Piramutaba (Brachyplatystoma vaillantii), dourada (Brachyplatystoma flavicans), pacu (Piaractus mesopotamicus), tambaqui (Colossoma macropomum) e tambacu (h brido de tambaqui e pacu)
0302.89.41;Piramutaba (Brachyplatystoma vaillantii)
0302.89.42;Dourada (Brachyplatystoma flavicans)
0302.89.43;Pacu (Piaractus mesopotamicus)
0302.89.44;Tambaqui (Colossoma macropomum)
0302.89.45;Tambacu (h brido de tambaqui e pacu)
0302.89.90;Outros
0302.9;- F gados, ovas, g nadas masculinas, barbatanas, cabe as, caudas, bexigas-natat rias e outros subprodutos comest veis de peixes:
0302.91;-- F gados, ovas e g nadas masculinas
0302.91.10;Ovas de tainhas (Mugil spp.)
0302.91.90;Outros
0302.92.00;-- Barbatanas de tubar o
0302.99.00;-- Outros
03.03;Peixes congelados, exceto os fil s (filetes) de peixes e outra carne de peixes da posi  o 03.04.
0303.1;- Salmon deos, exceto subprodutos comest veis de peixes das subposi  es 0303.91 a 0303.99:
0303.11.00;-- Salm o-do-pac fico (salm o-vermelho) (Oncorhynchus nerka)
0303.12.00;-- Outros salm es-do-pac fico (Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou e Oncorhynchus rhodurus)
0303.13.00;-- Salm o-do-atl ntico (Salmo salar) e salm o-do-dan bio (Hucho hucho)
0303.14.00;-- Trutas (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache e Oncorhynchus chrysogaster)
0303.19.00;-- Outros
0303.2;- Til pias (Oreochromis spp.), bagres (peixes-gato*) (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.), carpas (Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp.), enguias (Anguilla spp.), perca-do-nilo (Lates niloticus) e peixes cabe a-de-serpente (Channa spp.), exceto subprodutos comest veis de peixes das subposi  es 0303.91 a 0303.99:
0303.23.00;-- Til pias (Oreochromis spp.)
0303.24;-- Bagres (Peixes-gato*) (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.)
0303.24.10;Bagre americano (Ictalurus punctatus)
0303.24.90;Outros
0303.25.00;-- Carpas (Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp.)
0303.26.00;-- Enguias (Anguilla spp.)
0303.29.00;-- Outros
0303.3;- Peixes chatos (Pleuronectidae, Bothidae, Cynoglossidae, Soleidae, Scophthalmidae e Citharidae), exceto subprodutos comest veis de peixes das subposi  es 0303.91 a 0303.99:
0303.31.00;-- Linguados-gigantes (Alabotes*) (Reinhardtius hippoglossoides, Hippoglossus hippoglossus, Hippoglossus stenolepis)
0303.32.00;-- Solha (Pleuronectes platessa)
0303.33.00;-- Linguados (Solea spp.)
0303.34.00;-- Pregado (Psetta maxima)
0303.39.00;-- Outros
0303.4;- Atuns (do g nero Thunnus), bonito-listrado (gaiado*) (Katsuwonus pelamis), exceto subprodutos comest veis de peixes das subposi  es 0303.91 a 0303.99:
0303.41.00;-- Albacora-branca (atum) (Thunnus alalunga)
0303.42.00;-- Albacora-laje (atum) (Thunnus albacares)
0303.43.00;-- Bonito-listrado (Gaiado*) (Katsuwonus pelamis)
0303.44.00;-- Albacora-bandolim (atum) (Thunnus obesus)
0303.45.00;-- Atuns-azuis (atuns) (Thunnus thynnus, Thunnus orientalis)
0303.46.00;-- Atum-azul do sul (atum) (Thunnus maccoyii)
0303.49.00;-- Outros
