NCM;DESCRICAO
8435.10.00;- M quinas e aparelhos
8435.90.00;- Partes
84.36;Outras m quinas e aparelhos para agricultura, horticultura, silvicultura, avicultura ou apicultura, incluindo os germinadores equipados com dispositivos mec nicos ou t rmicos e as chocadeiras e criadeiras para avicultura.
8436.10.00;- M quinas e aparelhos para prepara  o de alimentos ou ra  es para animais
8436.2;- M quinas e aparelhos para avicultura, incluindo as chocadeiras e criadeiras:
8436.21.00;-- Chocadeiras e criadeiras
8436.29.00;-- Outros
8436.80.00;- Outras m quinas e aparelhos
8436.9;- Partes:
8436.91.00;-- De m quinas ou aparelhos para avicultura
8436.99.00;-- Outras
84.37;"M quinas para limpeza, sele  o ou peneira  o de gr os ou de produtos hort colas secos; m quinas e aparelhos para a ind stria de moagem ou tratamento de cereais ou de produtos hort colas secos, exceto do tipo utilizado em fazendas."
8437.10.00;- M quinas para limpeza, sele  o ou peneira  o de gr os ou de produtos hort colas secos
8437.80;- Outras m quinas e aparelhos
8437.80.10;Para tritura  o ou moagem de gr os
8437.80.90;Outros
8437.90.00;- Partes
84.38;M quinas e aparelhos n o especificados nem compreendidos noutras posi  es do presente Cap tulo, para prepara  o ou fabrica  o industrial de alimentos ou de bebidas, exceto as m quinas e aparelhos para extra  o ou prepara  o de  leos ou gorduras vegetais ou de origem microbiana, fixos, ou de animais.
8438.10.00;- M quinas e aparelhos para as ind strias de panifica  o, pastelaria, bolachas e biscoitos e de massas aliment cias
8438.20;- M quinas e aparelhos para as ind strias de confeitaria e de cacau ou de chocolate
8438.20.1;Para as ind strias de confeitaria
8438.20.11;Para fabricar bombons de chocolate por moldagem, de capacidade de produ  o igual ou superior a 150 kg/h
8438.20.19;Outros
8438.20.90;Outros
8438.30.00;- M quinas e aparelhos para a ind stria de a  car
8438.40.00;- M quinas e aparelhos para a ind stria cervejeira
8438.50.00;- M quinas e aparelhos para prepara  o de carnes
8438.60.00;- M quinas e aparelhos para prepara  o de fruta ou de produtos hort colas
8438.80;- Outras m quinas e aparelhos
8438.80.10;M quinas para extra  o de  leo essencial de citros
8438.80.20;Autom tica, para descabe ar, cortar a cauda e eviscerar peixes, com capacidade superior a 350 unidades por minuto
8438.80.90;Outros
8438.90.00;- Partes
84.39;M quinas e aparelhos para fabrica  o de pasta de mat rias fibrosas celul sicas ou para fabrica  o ou acabamento de papel ou cart o.
8439.10;- M quinas e aparelhos para fabrica  o de pasta de mat rias fibrosas celul sicas
8439.10.10;Para tratamento preliminar das mat rias-primas
8439.10.20;Classificadoras e classificadoras-depuradoras de pasta
8439.10.30;Refinadoras
8439.10.90;Outros
8439.20.00;- M quinas e aparelhos para fabrica  o de papel ou cart o
8439.30;- M quinas e aparelhos para acabamento de papel ou cart o
8439.30.10;Bobinadoras-esticadoras
8439.30.20;Para impregnar
8439.30.30;Para ondular
8439.30.90;Outros
8439.9;- Partes:
8439.91.00;-- De m quinas ou aparelhos para fabrica  o de pasta de mat rias fibrosas celul sicas
8439.99;-- Outras
8439.99.10;Rolos, corrugadores ou de press o, de m quinas para ondular, com largura  til igual ou superior a 2.500 mm
8439.99.90;Outras
84.40;M quinas e aparelhos para brochura ou encaderna  o, incluindo as m quinas de costurar cadernos.
8440.10;- M quinas e aparelhos
8440.10.1;De costurar cadernos
8440.10.11;Com alimenta  o autom tica
8440.10.19;Outros
8440.10.20;M quinas para fabricar capas de papel o, com dispositivo de colagem e capacidade de produ  o superior a 60 unidades por minuto
8440.10.90;Outros
8440.90.00;- Partes
84.41;Outras m quinas e aparelhos para o trabalho de pasta de papel, papel ou cart o, incluindo as cortadeiras de qualquer tipo.
8441.10;- Cortadeiras
8441.10.10;Cortadeiras bobinadoras com velocidade de bobinado superior a 2.000 m/min
8441.10.90;Outras
8441.20.00;- M quinas para fabrica  o de sacos de quaisquer dimens es ou de envelopes
8441.30;- M quinas para fabrica  o de caixas, tubos, tambores ou de recipientes semelhantes, por qualquer processo, exceto moldagem
8441.30.10;De dobrar e colar, para fabrica  o de caixas
8441.30.90;Outras
8441.40.00;- M quinas de moldar artigos de pasta de papel, papel ou cart o
8441.80.00;- Outras m quinas e aparelhos
8441.90.00;- Partes
84.42;"M quinas, aparelhos e equipamentos (exceto as m quinas das posi  es 84.56 a 84.65), para prepara  o ou fabrica  o de clich s, placas, cilindros ou outros elementos de impress o; clich s, placas, cilindros e outros elementos de impress o; pedras litogr ficas, placas e cilindros, preparados para impress o (por exemplo, aplainados, granulados ou polidos)."
8442.30;- M quinas, aparelhos e equipamentos
8442.30.10;De compor por processo fotogr fico
8442.30.20;De compor caracteres tipogr ficos por outros processos, mesmo com dispositivo de fundir
8442.30.90;Outros
8442.40;- Partes dessas m quinas, aparelhos e equipamentos
8442.40.10;De m quinas do item 8442.30.10
8442.40.20;De m quinas do item 8442.30.20
8442.40.90;Outras
8442.50.00;"- Clich s, placas, cilindros e outros elementos de impress o; pedras litogr ficas, placas e cilindros, preparados para impress o (por exemplo, aplainados, granulados ou polidos)"
84.43;"M quinas e aparelhos de impress o por meio de placas, cilindros e outros elementos de impress o da posi  o 84.42; outras impressoras, aparelhos de copiar e aparelhos de telecopiar (fax), mesmo combinados entre si; partes e acess rios."
8443.1;- M quinas e aparelhos de impress o por meio de placas, cilindros e outros elementos de impress o da posi  o 84.42:
8443.11;-- M quinas e aparelhos de impress o, por ofsete, alimentados por bobinas
8443.11.10;Para impress o multicolor de jornais, de largura igual ou superior a 900 mm, com unidades de impress o em configura  o torre e dispositivos autom ticos de emendar bobinas
8443.11.90;Outros
8443.12.00;-- M quinas e aparelhos de impress o, por ofsete, do tipo utilizado em escrit rios, alimentados por folhas em que um lado n o seja superior a 22 cm e que o outro n o seja superior a 36 cm, quando n o dobradas
8443.13;-- Outras m quinas e aparelhos de impress o, por ofsete
8443.13.10;Para impress o multicolor de recipientes de mat rias pl sticas, cil ndricos, c nicos ou de faces planas
8443.13.2;Alimentados por folhas de formato inferior ou igual a 37,5 cm x 51 cm
8443.13.21;Com velocidade de impress o igual ou superior a 12.000 folhas por hora
8443.13.29;Outros
8443.13.90;Outros
8443.14.00;-- M quinas e aparelhos de impress o, tipogr ficos, alimentados por bobinas, excluindo as m quinas e aparelhos flexogr ficos
8443.15.00;-- M quinas e aparelhos de impress o, tipogr ficos, n o alimentados por bobinas, excluindo as m quinas e aparelhos flexogr ficos
8443.16.00;-- M quinas e aparelhos de impress o, flexogr ficos
8443.17;-- M quinas e aparelhos de impress o, heliogr ficos
8443.17.10;Rotativas para heliogravura
8443.17.90;Outros
8443.19;-- Outros
8443.19.10;Para serigrafia
8443.19.90;Outros
8443.3;- Outras impressoras, aparelhos de copiar e aparelhos de telecopiar (fax), mesmo combinados entre si:
8443.31;-- M quinas que executem pelo menos duas das seguintes fun  es: impress o, c pia ou transmiss o de telec pia (fax), capazes de ser conectadas a uma m quina autom tica para processamento de dados ou a uma rede
8443.31.1;Alimentadas por folhas, com velocidade de impress o, medida no formato A4 (210 mm x 297 mm), inferior ou igual a 45 p ginas por minuto (ppm)
8443.31.11;De jato de tinta l quida, com largura de impress o inferior ou igual a 420 mm
8443.31.12;De transfer ncia t rmica de cera s lida (por exemplo, solid ink e dye sublimation)
8443.31.13;A laser, LED (Diodos Emissores de Luz) ou LCS (Sistema de Cristal L quido), monocrom ticas, com largura de impress o inferior ou igual a 280 mm
8443.31.14;A laser, LED (Diodos Emissores de Luz) ou LCS (Sistema de Cristal L quido), monocrom ticas, com largura de impress o superior a 280 mm, mas n o superior a 420 mm
8443.31.15;A laser, LED (Diodos Emissores de Luz) ou LCS (Sistema de Cristal L quido), policrom ticas
8443.31.16;Outras, com largura de impress o superior a 420 mm
8443.31.19;Outras
8443.31.9;Outras
8443.31.91;Com impress o por sistema t rmico
8443.31.99;Outras
8443.32;-- Outros, capazes de ser conectados a uma m quina autom tica para processamento de dados ou a uma rede
8443.32.2;Impressoras de impacto
8443.32.21;De linha
8443.32.22;De caracteres Braille
8443.32.23;Outras matriciais (por pontos)
8443.32.29;Outras
8443.32.3;Outras impressoras, alimentadas por folhas, com velocidade de impress o, medida no formato A4 (210 mm x 297 mm), inferior ou igual a 45 p ginas por minuto (ppm)
8443.32.31;De jato de tinta l quida, com largura de impress o inferior ou igual a 420 mm
8443.32.32;De transfer ncia t rmica de cera s lida (por exemplo, solid ink e dye sublimation)
8443.32.33;A laser, LED (Diodos Emissores de Luz) ou LCS (Sistema de Cristal L quido), monocrom ticas, com largura de impress o inferior ou igual a 280 mm
8443.32.34;A laser, LED (Diodos Emissores de Luz) ou LCS (Sistema de Cristal L quido), monocrom ticas, com largura de impress o superior a 280 mm, mas n o superior a 420 mm
8443.32.35;A laser, LED (Diodos Emissores de Luz) ou LCS (Sistema de Cristal L quido), policrom ticas, com velocidade de impress o inferior ou igual a 20 p ginas por minuto (ppm)
8443.32.36;A laser, LED (Diodos Emissores de Luz) ou LCS (Sistema de Cristal L quido), policrom ticas, com velocidade de impress o superior a 20 p ginas por minuto (ppm)
8443.32.37;T rmicas, do tipo utilizado em impress o de imagens para diagn stico m dico em folhas revestidas com camada termossens vel
8443.32.38;Outras, com largura de impress o superior a 420 mm
8443.32.39;Outras
8443.32.40;Outras impressoras alimentadas por folhas
8443.32.5;Tra adores gr ficos (plotters)
8443.32.51;Por meio de penas
8443.32.52;Outros, com largura de impress o superior a 580 mm
8443.32.59;Outros
8443.32.9;Outros
8443.32.91;Impressoras de c digo de barras postais, tipo 3 em 5, a jato de tinta fluorescente, com velocidade de at  4,5 m/s e passo de 1,4 mm
8443.32.99;Outros
8443.39;-- Outros
8443.39.10;M quinas de impress o por jato de tinta
8443.39.2;M quinas copiadoras eletrost ticas
8443.39.21;De reprodu  o da imagem do original sobre a c pia por meio de um suporte intermedi rio (processo indireto), monocrom ticas, para c pias de superf cie inferior ou igual a 1 m2, com velocidade inferior a 100 c pias por minuto
8443.39.28;Outras, por processo indireto
8443.39.29;Outras
8443.39.30;Outras m quinas copiadoras
8443.39.90;Outros
8443.9;- Partes e acess rios:
8443.91;-- Partes e acess rios de m quinas e aparelhos de impress o por meio de blocos, cilindros e outros elementos de impress o da posi  o 84.42
8443.91.10;De m quinas e aparelhos da subposi  o 8443.12
8443.91.9;Outros
8443.91.91;Dobradoras
8443.91.92;Numeradores autom ticos
8443.91.99;Outros
8443.99;-- Outros
8443.99.1;Mecanismos de impress o por impacto, suas partes e acess rios
8443.99.11;Mecanismos de impress o, mesmo sem cabe a de impress o incorporada
8443.99.12;Cabe as de impress o
8443.99.19;Outros
8443.99.2;Mecanismos de impress o por jato de tinta, suas partes e acess rios
8443.99.21;Mecanismos de impress o, mesmo sem cabe a de impress o incorporada
8443.99.22;Cabe as de impress o
8443.99.23;Cartuchos de tinta
8443.99.29;Outros
8443.99.3;Mecanismos de impress o a laser, a LED (Diodos Emissores de Luz) ou a LCS (Sistema de Cristal L quido), suas partes e acess rios
8443.99.31;Mecanismos de impress o, mesmo sem cilindro fotossens vel incorporado
8443.99.32;Cilindros recobertos de mat ria semicondutora fotoel trica
8443.99.33;Cartuchos de revelador (toners)
8443.99.39;Outros
8443.99.4;Mecanismos de impress o por sistema t rmico, suas partes e acess rios
8443.99.41;Mecanismos de impress o, mesmo sem cabe a de impress o incorporada
8443.99.42;Cabe as de impress o
8443.99.49;Outros
8443.99.50;Outros mecanismos de impress o, suas partes e acess rios
8443.99.60;Circuitos impressos com componentes el tricos ou eletr nicos, montados
8443.99.70;Bandejas e gavetas, suas partes e acess rios
8443.99.80;Mecanismos de alimenta  o ou de triagem de pap is ou documentos, suas partes e acess rios
8443.99.90;Outros
8444.00;M quinas para extrudar, estirar, texturizar ou cortar mat rias t xteis sint ticas ou artificiais.
8444.00.10;Para extrudar
8444.00.20;Para corte ou ruptura de fibras
8444.00.90;Outras
84.45;"M quinas para prepara  o de mat rias t xteis; m quinas para fia  o, dobragem ou tor  o, de mat rias t xteis e outras m quinas e aparelhos para fabrica  o de fios t xteis; m quinas de bobinar (incluindo as bobinadoras de trama) ou de dobar mat rias t xteis e m quinas para prepara  o de fios t xteis para a sua utiliza  o nas m quinas das posi  es 84.46 ou 84.47."
8445.1;- M quinas para prepara  o de mat rias t xteis:
8445.11;-- Cardas
8445.11.10;Para l 
8445.11.20;Para fibras do Cap tulo 53
8445.11.90;Outras
8445.12.00;-- Penteadoras
8445.13.00;-- Bancos de estiramento (fusos)
8445.19;-- Outras
8445.19.10;M quinas para a prepara  o da seda
8445.19.2;M quinas para a prepara  o de outras mat rias t xteis
8445.19.21;Para recupera  o de cordas, fios, trapos ou qualquer outro desperd cio, transformando-os em fibras adequadas para cardagem
8445.19.22;Descaro adeiras e deslintadeiras de algod o
8445.19.23;Para desengordurar, lavar, alvejar ou tingir fibras t xteis em massa ou rama
8445.19.24;Abridoras de fibras de l 
8445.19.25;Abridoras de fibras do Cap tulo 53
8445.19.26;M quinas de carbonizar a l 
8445.19.27;Para estirar a l 
8445.19.29;Outras
8445.20.00;- M quinas para fia  o de mat rias t xteis
8445.30;- M quinas para dobragem ou tor  o, de mat rias t xteis
8445.30.10;Retorcedeiras
8445.30.90;Outras
8445.40;- M quinas de bobinar (incluindo as bobinadoras de trama) ou de dobar mat rias t xteis
8445.40.1;Bobinadoras autom ticas
8445.40.11;Bobinadoras de trama (espuladeiras)
8445.40.12;Para fios elastanos
8445.40.18;Outras, com atador autom tico
8445.40.19;Outras
8445.40.2;Bobinadoras n o autom ticas
8445.40.21;Com velocidade de bobinado igual ou superior a 4.000 m/min
8445.40.29;Outras
8445.40.3;Meadeiras
8445.40.31;Com controle de comprimento ou peso e atador autom tico
8445.40.39;Outras
8445.40.40;Noveleiras autom ticas
8445.40.90;Outras
8445.90;- Outras
8445.90.10;Urdideiras
8445.90.20;Passadeiras para li o e pente
8445.90.30;Para amarrar urdideiras
8445.90.40;Autom ticas, para colocar lamelas
8445.90.90;Outras
84.46;Teares para tecidos.
8446.10;- Para tecidos de largura n o superior a 30 cm
8446.10.10;Com mecanismo Jacquard
8446.10.90;Outros
8446.2;- Para tecidos de largura superior a 30 cm, de lan adeiras:
8446.21.00;-- A motor
8446.29.00;-- Outros
8446.30;- Para tecidos de largura superior a 30 cm, sem lan adeiras
8446.30.10;A jato de ar
8446.30.20;A jato de  gua
8446.30.30;De proj til
8446.30.40;De pin as
8446.30.90;Outros
84.47;Teares para fabricar malhas, m quinas de costura por entrela amento (couture-tricotage), m quinas para fabricar guipuras, tules, rendas, bordados, passamanarias, gal es ou redes e m quinas para inserir tufos.
8447.1;- Teares circulares para malhas:
8447.11.00;-- Com cilindro de di metro n o superior a 165 mm
8447.12.00;-- Com cilindro de di metro superior a 165 mm
8447.20;"- Teares retil neos para malhas; m quinas de costura por entrela amento (couture-tricotage)"
8447.20.10;Teares manuais
8447.20.2;Teares motorizados
8447.20.21;Para fabrica  o de malhas de urdidura
8447.20.29;Outros
8447.20.30;M quinas de costura por entrela amento (couture-tricotage)
8447.90;- Outros
8447.90.10;M quinas para fabrica  o de redes, tules ou fil s
8447.90.20;M quinas autom ticas para bordar
8447.90.90;Outras
84.48;"M quinas e aparelhos auxiliares para as m quinas das posi  es 84.44, 84.45, 84.46 ou 84.47 (por exemplo, ratieras (maquinetas*), mecanismos Jacquard, quebra-urdiduras e quebra-tramas, mecanismos troca-lan adeiras); partes e acess rios reconhec veis como exclusiva ou principalmente destinados  s m quinas da presente posi  o ou das posi  es 84.44, 84.45, 84.46 ou 84.47 (por exemplo, fusos, aletas, guarni  es de cardas, pentes, barras, fieiras, lan adeiras, li os e quadros de li os, agulhas, platinas, ganchos)."
8448.1;- M quinas e aparelhos auxiliares para as m quinas das posi  es 84.44, 84.45, 84.46 ou 84.47:
8448.11;"-- Ratieras (Maquinetas*) e mecanismos Jacquard; redutores, perfuradores e copiadores de cart es; m quinas para enla ar cart es ap s perfura  o"
8448.11.10;Ratieras
8448.11.20;Mecanismos Jacquard
8448.11.90;Outros
8448.19.00;-- Outros
8448.20;- Partes e acess rios das m quinas da posi  o 84.44 ou das suas m quinas e aparelhos auxiliares
8448.20.10;Fieiras para a extrus o
8448.20.20;Outras partes e acess rios de m quinas para a extrus o
8448.20.30;De m quinas para corte ou ruptura de fibras
8448.20.90;Outras
8448.3;- Partes e acess rios das m quinas da posi  o 84.45 ou das suas m quinas e aparelhos auxiliares:
8448.31.00;-- Guarni  es de cardas
8448.32;-- De m quinas para prepara  o de mat rias t xteis, exceto as guarni  es de cardas
8448.32.1;De cardas
8448.32.11;Chap us (flats)
8448.32.19;Outras
8448.32.20;De penteadoras
8448.32.30;De bancas de estiramento (bancas de fusos)
8448.32.40;De m quinas para a prepara  o da seda
8448.32.50;De m quinas para carbonizar l 
8448.32.90;Outros
8448.33;-- Fusos e suas aletas, an is e cursores
8448.33.10;Cursores
8448.33.90;Outros
8448.39;-- Outros
8448.39.1;De m quinas para fia  o, dobragem ou tor  o
8448.39.11;De filat rios intermitentes (selfatinas)
8448.39.12;De m quinas do tipo tow-to-yarn
8448.39.17;De outros filat rios
8448.39.19;Outras
8448.39.2;De m quinas de bobinar ou de dobar
8448.39.21;De bobinadoras de trama (espuladeiras)
8448.39.22;De bobinadoras autom ticas para fios elastanos, ou com atador autom tico
8448.39.23;Outras, de bobinadoras autom ticas
8448.39.29;Outras
8448.39.9;Outros
8448.39.91;De urdideiras
8448.39.92;De passadeiras para li o e pente
8448.39.99;Outras
8448.4;- Partes e acess rios de teares para tecidos ou das suas m quinas e aparelhos auxiliares:
8448.42.00;-- Pentes, li os e quadros de li os
8448.49;-- Outros
8448.49.10;De m quinas ou aparelhos auxiliares de teares
8448.49.20;De teares para tecidos de largura superior a 30 cm, sem lan adeiras, a jato de  gua ou de proj til
8448.49.90;Outras
8448.5;- Partes e acess rios dos teares, m quinas ou aparelhos, da posi  o 84.47 ou das suas m quinas e aparelhos auxiliares:
8448.51;-- Platinas, agulhas e outros artigos, utilizados na forma  o das malhas
8448.51.10;Platinas
8448.51.90;Outros
8448.59;-- Outros
8448.59.10;De teares circulares para malhas
8448.59.2;De teares retil neos
8448.59.21;Manuais
8448.59.22;Para fabrica  o de malhas de urdidura
8448.59.29;Outras
8448.59.30;De m quinas para fabrica  o de redes, tules ou fil s, ou autom ticas para bordar
8448.59.40;De m quinas do item 8447.90.90
8448.59.90;Outras
8449.00;"M quinas e aparelhos para fabrica  o ou acabamento de feltro ou de falsos tecidos (tecidos n o tecidos), em pe a ou em forma determinada, incluindo as m quinas e aparelhos para fabrica  o de chap us de feltro; formas para chapelaria."
8449.00.10;M quinas e aparelhos para fabrica  o ou acabamento de feltros
8449.00.20;M quinas e aparelhos para fabrica  o de falsos tecidos (tecidos n o tecidos)
8449.00.80;Outros
8449.00.9;Partes
8449.00.91;De m quinas ou aparelhos para fabrica  o de falsos tecidos (tecidos n o tecidos)
8449.00.99;Outras
84.50;M quinas de lavar roupa, mesmo com dispositivos de secagem.
8450.1;- M quinas de capacidade, expressa em peso de roupa seca, n o superior a 10 kg:
8450.11.00;-- M quinas inteiramente autom ticas
8450.12.00;-- Outras m quinas, com secador centr fugo incorporado
8450.19.00;-- Outras
8450.20;- M quinas de capacidade, expressa em peso de roupa seca, superior a 10 kg
8450.20.10;T neis cont nuos
8450.20.20;Outras m quinas, de capacidade n o superior a 18 kg
8450.20.90;Outras
8450.90;- Partes
8450.90.10;De m quinas dos itens 8450.20.10 ou 8450.20.90
8450.90.90;Outras
84.51;"M quinas e aparelhos (exceto as m quinas da posi  o 84.50) para lavar, limpar, espremer, secar, passar, prensar (incluindo as prensas de transfer ncia t rmica ou de fus o), branquear, tingir, para apresto e acabamento, para revestir ou impregnar fios, tecidos ou obras de mat rias t xteis e m quinas para revestir tecidos-base ou outros suportes utilizados na fabrica  o de revestimentos para pisos (pavimentos), tais como lin leo; m quinas para enrolar, desenrolar, dobrar, cortar ou dentear tecidos."
8451.10.00;- M quinas para lavar a seco
8451.2;- M quinas de secar:
8451.21.00;-- De capacidade, expressa em peso de roupa seca, n o superior a 10 kg
8451.29;-- Outras
8451.29.10;Que funcionem por meio de ondas eletromagn ticas (micro-ondas), cuja produ  o seja igual ou superior a 120 kg/h de produto seco
8451.29.90;Outras
8451.30;- M quinas e prensas para passar, incluindo as prensas de transfer ncia t rmica ou de fus o
8451.30.10;Autom ticas
8451.30.9;Outras
8451.30.91;Prensas para passar de peso inferior ou igual a 14 kg
8451.30.99;Outras
8451.40;- M quinas para lavar, branquear ou tingir
8451.40.10;Para lavar
8451.40.2;Para tingir ou branquear fios ou tecidos
8451.40.21;"Para tingir tecidos em rolos; para tingir por press o est tica, com molinete (rotor de p s), jato de  gua (jet) ou combinada"
8451.40.29;Outras
8451.40.90;Outras
8451.50;- M quinas para enrolar, desenrolar, dobrar, cortar ou dentear tecidos
8451.50.10;Para inspe  o visual de tecidos
8451.50.20;Autom ticas, para enfestar ou cortar
8451.50.90;Outras
8451.80.00;- Outras m quinas e aparelhos
8451.90;- Partes
8451.90.10;Para as m quinas da subposi  o 8451.21
8451.90.90;Outras
84.52;"M quinas de costura, exceto as de costurar cadernos da posi  o 84.40; m veis, bases e tampas, pr prios para m quinas de costura; agulhas para m quinas de costura."
8452.10.00;- M quinas de costura de uso dom stico
8452.2;- Outras m quinas de costura:
8452.21;-- Unidades autom ticas
8452.21.10;Para costurar couros ou peles
8452.21.20;Para costurar tecidos
8452.21.90;Outras
8452.29;-- Outras
8452.29.10;Para costurar couros ou peles
8452.29.2;Para costurar tecidos
8452.29.21;Remalhadeiras
8452.29.22;Para casear
8452.29.23;Tipo zigue-zague para inserir el stico
8452.29.24;De costura reta
8452.29.25;Galoneiras
8452.29.29;Outras
8452.29.90;Outras
8452.30.00;- Agulhas para m quinas de costura
8452.90;"- M veis, bases e tampas, para m quinas de costura, e suas partes; outras partes de m quinas de costura"
8452.90.20;M veis, bases e tampas, para m quinas de costura, e suas partes
8452.90.8;Outras partes de m quinas de costura de uso dom stico
8452.90.81;Guia-fios, lan adeiras e porta-bobinas
8452.90.89;Outras
8452.90.9;Outras
8452.90.91;Guia-fios, lan adeiras n o rotativas e porta-bobinas
8452.90.92;Para remalhadeiras
8452.90.93;Lan adeiras rotativas
8452.90.94;Corpos moldados por fundi  o
8452.90.99;Outras
84.53;M quinas e aparelhos para preparar, curtir ou trabalhar couros ou peles, ou para fabricar ou consertar cal ado e outras obras de couro ou de pele, exceto m quinas de costura.
8453.10;- M quinas e aparelhos para preparar, curtir ou trabalhar couros ou peles
8453.10.10;M quinas para dividir couros com largura  til inferior ou igual a 3.000 mm, com l mina sem fim, com controle eletr nico program vel
8453.10.90;Outros
8453.20.00;- M quinas e aparelhos para fabricar ou consertar cal ado
8453.80.00;- Outras m quinas e aparelhos
8453.90.00;- Partes
84.54;Conversores, cadinhos ou colheres de fundi  o, lingoteiras e m quinas de vazar (moldar), para metalurgia, aciaria ou fundi  o.
8454.10.00;- Conversores
8454.20;- Lingoteiras e cadinhos ou colheres de fundi  o
8454.20.10;Lingoteiras
8454.20.90;Outras
8454.30;- M quinas de vazar (moldar)
8454.30.10;Sob press o
8454.30.20;Por centrifuga  o
8454.30.90;Outras
8454.90;- Partes
8454.90.10;De m quinas de vazar (moldar) por centrifuga  o
8454.90.90;Outras
84.55;Laminadores de metais e seus cilindros.
8455.10.00;- Laminadores de tubos
8455.2;- Outros laminadores:
8455.21;-- Laminadores a quente e laminadores combinados a quente e a frio
8455.21.10;De cilindros lisos
8455.21.90;Outros
8455.22;-- Laminadores a frio
8455.22.10;De cilindros lisos
8455.22.90;Outros
8455.30;- Cilindros de laminadores
8455.30.10;Fundidos, de a o ou ferro fundido nodular
8455.30.20;Forjados, de a o de corte r pido, com um teor, em peso, de carbono igual ou superior a 0,80 % e inferior ou igual a 0,90 %, de cromo igual ou superior a 3,50 % e inferior ou igual a 4 %, de van dio igual ou superior a 1,60 % e inferior ou igual a 2,30 %, de molibd nio inferior ou igual a 8,50 % e de tungst nio (volfr mio) inferior ou igual a 7 %
8455.30.90;Outros
8455.90.00;- Outras partes
84.56;"M quinas-ferramentas que trabalhem por elimina  o de qualquer mat ria, que operem por laser ou por outro feixe de luz ou de f tons, por ultrassom, por eletroeros o, por processos eletroqu micos, por feixes de el trons, por feixes i nicos ou por jato de plasma; m quinas de corte a jato de  gua."
8456.1;- Que operem por laser ou por outro feixe de luz ou de f tons:
8456.11;-- Que operem por laser
8456.11.1;De comando num rico
8456.11.11;Para corte de chapas met licas de espessura superior a 8 mm
8456.11.19;Outras
8456.11.90;Outras
8456.12;-- Que operem por outro feixe de luz ou de f tons
8456.12.1;De comando num rico
8456.12.11;Para corte de chapas met licas de espessura superior a 8 mm
8456.12.19;Outras
8456.12.90;Outras
8456.20;- Que operem por ultrassom
8456.20.10;De comando num rico
8456.20.90;Outras
8456.30;- Que operem por eletroeros o
8456.30.1;De comando num rico
8456.30.11;Para texturizar superf cies cil ndricas
8456.30.19;Outras
8456.30.90;Outras
8456.40.00;- Que operem por jato de plasma
8456.50.00;- M quinas de corte a jato de  gua
8456.90.00;- Outras
84.57;Centros de usinagem (fabrica  o*), m quinas de sistema monost tico (single station) e m quinas de esta  es m ltiplas, para trabalhar metais.
8457.10.00;- Centros de usinagem (fabrica  o*)
8457.20;- M quinas de sistema monost tico (single station)
8457.20.10;De comando num rico
8457.20.90;Outras
8457.30;- M quinas de esta  es m ltiplas
8457.30.10;De comando num rico
8457.30.90;Outras
84.58;Tornos (incluindo os centros de torneamento) para metais.
8458.1;- Tornos horizontais:
8458.11;-- De comando num rico
8458.11.10;Rev lver
8458.11.9;Outros
8458.11.91;De 6 ou mais fusos porta-pe as
8458.11.99;Outros
8458.19;-- Outros
8458.19.10;Rev lver
8458.19.90;Outros
8458.9;- Outros tornos:
8458.91.00;-- De comando num rico
8458.99.00;-- Outros
84.59;M quinas-ferramentas (incluindo as unidades com cabe a deslizante) para furar, mandrilar, fresar, roscar interior ou exteriormente metais, por elimina  o de mat ria, exceto os tornos (incluindo os centros de torneamento) da posi  o 84.58.
8459.10.00;- Unidades com cabe a deslizante
8459.2;- Outras m quinas para furar:
8459.21;-- De comando num rico
8459.21.10;Radiais
8459.21.9;Outras
8459.21.91;De mais de um cabe ote mono ou multifuso
8459.21.99;Outras
8459.29.00;-- Outras
8459.3;- Outras mandriladoras-fresadoras:
8459.31.00;-- De comando num rico
8459.39.00;-- Outras
8459.4;- Outras m quinas para mandrilar:
8459.41.00;-- De comando num rico
8459.49.00;-- Outras
8459.5;- M quinas para fresar, de console:
8459.51.00;-- De comando num rico
8459.59.00;-- Outras
8459.6;- Outras m quinas para fresar:
8459.61.00;-- De comando num rico
8459.69.00;-- Outras
8459.70.00;- Outras m quinas para roscar interior ou exteriormente
84.60;M quinas-ferramentas para rebarbar, afiar, amolar, retificar, brunir, polir ou realizar outras opera  es de acabamento em metais ou cermets por meio de m s, de abrasivos ou de produtos polidores, exceto as m quinas de cortar ou acabar engrenagens da posi  o 84.61.
8460.1;- M quinas para retificar superf cies planas:
8460.12.00;-- De comando num rico
8460.19.00;-- Outras
8460.2;- Outras m quinas para retificar:
8460.22.00;-- M quinas para retificar sem centro, de comando num rico
8460.23.00;-- Outras m quinas para retificar superf cies cil ndricas, de comando num rico
8460.24.00;-- Outras, de comando num rico
8460.29.00;-- Outras
8460.3;- M quinas para afiar:
8460.31.00;-- De comando num rico
8460.39.00;-- Outras
8460.40;- M quinas para brunir
8460.40.1;De comando num rico
8460.40.11;Brunidoras para cilindros de di metro inferior ou igual a 312 mm
8460.40.19;Outras
8460.40.9;Outras
8460.40.91;Brunidoras para cilindros de di metro inferior ou igual a 312 mm
8460.40.99;Outras
8460.90;- Outras
8460.90.1;De comando num rico
8460.90.11;De polir, com cinco ou mais cabe as e porta -pe as rotativo
